model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_country_to_currency,correct_country_to_currency,total_country_to_currency,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl:country_to_currency,True,,False,0.0,0,198,0.0,0,198,11.418284406565656,369422.9798364663,2.3265754602714326e-07,2.8122341689968416e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl:country_to_currency,True,,False,0.17676767676767677,35,198,0.17676767676767677,35,198,7.154444839015151,416206.22307935485,4.745244555914511e-05,0.004845363405999131
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl:country_to_currency,True,,False,0.3838383838383838,76,198,0.3838383838383838,76,198,6.309688683712121,83584.64617239323,4.648466987991062e-05,0.010174626331992492
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl:country_to_currency,True,,False,0.41414141414141414,82,198,0.41414141414141414,82,198,6.046805950126263,31959.447605214023,7.316608478375385e-05,0.013404088882478316
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl:country_to_currency,True,,False,0.494949494949495,98,198,0.494949494949495,98,198,5.781348642676767,7931.15108867739,6.873907375569192e-05,0.012820466200530319
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl:country_to_currency,True,,False,0.4393939393939394,87,198,0.4393939393939394,87,198,5.906792534722222,42075.024158259774,7.730932292780357e-05,0.013779772337843051
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl:country_to_currency,True,,False,0.31313131313131315,62,198,0.31313131313131315,62,198,5.404513888888889,6313.785573953699,0.0001795168738960793,0.01901577238242773
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl:country_to_currency,True,,False,0.5707070707070707,113,198,0.5707070707070707,113,198,4.787508877840909,2558.7383419935272,0.0004992877483672017,0.027597813587727536
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl:country_to_currency,True,,False,0.6363636363636364,126,198,0.6363636363636364,126,198,4.927221433080808,1757.6482873332293,0.00029764778931288426,0.02153573233506786
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl:country_to_currency,True,,False,0.5707070707070707,113,198,0.5707070707070707,113,198,4.858965632891414,1252.6378213961157,0.0003821032375105319,0.024324645844425768
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl:country_to_currency,True,,False,0.6111111111111112,121,198,0.6111111111111112,121,198,4.905717329545454,1262.6974287771611,0.00037483382045832686,0.019023791228778956
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl:country_to_currency,True,,False,0.5252525252525253,104,198,0.5252525252525253,104,198,5.356553819444445,4230.031832753198,0.0001636054334418998,0.016151525295539045
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl:country_to_currency,True,,False,0.5959595959595959,118,198,0.5959595959595959,118,198,4.955946180555555,2380.572541917154,0.00029965610176935247,0.02118909793006048
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl:country_to_currency,True,,False,0.51010101010101,101,198,0.51010101010101,101,198,4.786714804292929,1879.265534475004,0.00042642944959524914,0.026556693703541384
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl:country_to_currency,True,,False,0.5959595959595959,118,198,0.5959595959595959,118,198,5.064581360479798,4701.082235785457,0.00023508837165371857,0.020071595360204485
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl:country_to_currency,True,,False,0.6060606060606061,120,198,0.6060606060606061,120,198,5.367759627525253,4049.773690649684,0.00015551760819043503,0.015927232016495207
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl:country_to_currency,True,,False,0.6868686868686869,136,198,0.6868686868686869,136,198,4.626578282828283,687.5866247133937,0.000492693640514586,0.02673556312900938
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl:country_to_currency,True,,False,0.6717171717171717,133,198,0.6717171717171717,133,198,4.73950441919192,4495.826708274517,0.00041890367925006877,0.026131991558957922
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl:country_to_currency,True,,False,0.601010101010101,119,198,0.601010101010101,119,198,4.937406289457071,2752.9223276750095,0.000312136590633233,0.023795152191458294
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl:country_to_currency,True,,False,0.6363636363636364,126,198,0.6363636363636364,126,198,5.1471946022727275,30722.91038390628,0.00023205694451130393,0.02090196775577766
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl:country_to_currency,True,,False,0.5909090909090909,117,198,0.5909090909090909,117,198,4.958431976010101,3920.065033645969,0.0002772871578527147,0.023894129348178434
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl:country_to_currency,True,,False,0.6868686868686869,136,198,0.6868686868686869,136,198,5.076309974747475,4721.032304494243,0.00023797523178455365,0.02140309376747239
allenai/OLMo-2-1124-7B,main,simple_icl:country_to_currency,True,,False,0.6212121212121212,123,198,0.6212121212121212,123,198,4.457440617108586,2343.8820354516733,0.0006111309085688729,0.03297060430640222
