model,checkpoint,simple_icl:country_to_currency
allenai/OLMo-2-1124-7B,main,0.6212121212121212
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.3838383838383838
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.6060606060606061
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.6868686868686869
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.6717171717171717
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.41414141414141414
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.601010101010101
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.6363636363636364
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.494949494949495
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.5909090909090909
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.4393939393939394
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.6868686868686869
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.31313131313131315
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.5707070707070707
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.6363636363636364
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.5707070707070707
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.17676767676767677
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.6111111111111112
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.5252525252525253
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.5959595959595959
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.51010101010101
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.5959595959595959
