model,checkpoint,simple_icl_translate_fr_eng
allenai/OLMo-2-1124-7B,main,0.8971428571428571
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.42857142857142855
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.7828571428571428
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.7828571428571428
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.7885714285714286
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.6057142857142858
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.8057142857142857
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.8285714285714286
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.6628571428571428
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.8285714285714286
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.6628571428571428
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.8171428571428572
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.6742857142857143
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.7257142857142858
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.72
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.7428571428571429
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.005714285714285714
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.7314285714285714
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.7428571428571429
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.7371428571428571
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.7942857142857143
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.7714285714285715
