model,checkpoint,textfrct_MA3
allenai/OLMo-2-1124-7B,main,11.545703125
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,10.687565104166667
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,9.401497395833333
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,10.4181640625
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,10.1068359375
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.720572916666667
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.3044921875
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,10.034765625
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,10.643424479166667
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,10.1486328125
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,10.7537109375
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.763606770833333
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,10.314778645833334
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.750032552083333
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.2169921875
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,10.056575520833333
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.8423828125
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.703059895833333
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.2931640625
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.49716796875
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,10.314973958333333
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,9.7927734375
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,9.829947916666667
