model,checkpoint,simple_icl_present_to_gerund
allenai/OLMo-2-1124-7B,main,3.812385431215084
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,4.254195399790503
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,4.5815784305167595
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,4.7126396648044695
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,4.179207402234637
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.93763093575419
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,4.7353733851256985
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,4.171285789106145
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,4.1028336679469275
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,4.598905595321229
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,4.32995810055866
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,4.939464036312849
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,4.369026056215084
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,4.582189464036313
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,4.3608043819832405
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,4.65846499650838
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,4.334955481843576
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,3.681913407821229
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,4.5686539804469275
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,4.695618016759776
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,4.56471499650838
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,4.204505281075419
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,3.7816973638268156
