model,checkpoint,compositional_translate_eng_fr_last
allenai/OLMo-2-1124-7B,main,0.15606936416184972
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.1329479768786127
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.1907514450867052
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.12138728323699421
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.1791907514450867
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.1791907514450867
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.11560693641618497
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.11560693641618497
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.14450867052023122
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.1907514450867052
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.12138728323699421
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.13872832369942195
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.1329479768786127
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.12138728323699421
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.09248554913294797
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.1676300578034682
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.17341040462427745
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.1329479768786127
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.14450867052023122
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.06936416184971098
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.12138728323699421
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.15606936416184972
