model,checkpoint,compositional_plural_reverse_first
allenai/OLMo-2-0425-1B,main,8.324573863636363
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.289251893939394
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.60217803030303
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.25797821969697
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.705326704545454
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.598532196969696
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.76171875
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.262476325757575
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,9.099360795454546
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,9.408049242424243
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.835416666666666
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,6.541666666666667
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.229924242424242
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,9.044105113636364
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.996685606060606
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.2704545454545455
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.504829545454545
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.685629734848485
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.602154356060606
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.8821022727272725
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.46500946969697
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,9.219105113636363
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.952130681818182
