model,checkpoint,compositional_gerund_reverse_first
allenai/OLMo-2-0425-1B,main,7.55933988764045
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.713483146067416
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.458852703651686
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.580209796348315
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.557057584269663
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.148569171348314
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.072682584269662
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.022625526685394
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.892863412921348
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.791278967696629
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.13818908005618
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,8.427734375
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,6.586003335674158
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.118767556179776
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.163996664325843
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,5.929621664325842
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.789260007022472
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.646637991573034
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.069324964887641
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.450162394662922
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.833655196629214
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.427449087078651
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.337605337078652
