model,checkpoint,compositional_translate_eng_fr_last
allenai/OLMo-2-0425-1B,main,10.951363800578035
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.759212427745664
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.482207369942197
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.64100885115607
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.442557803468208
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,11.076115426300579
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.81028721098266
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.65473717485549
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.56900289017341
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.077537933526012
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.752867593930636
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.662549674855492
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.44569635115607
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.656679010115607
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.249503251445086
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.159117593930636
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.22694635115607
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.68284862716763
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.18359375
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.204570086705202
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.680793894508671
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.68208092485549
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.275356755780347
