model,checkpoint,simple_icl_first_letter
allenai/OLMo-2-0425-1B,main,0.8526315789473684
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.14736842105263157
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.8894736842105263
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.5631578947368421
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.5263157894736842
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.5368421052631579
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.6368421052631579
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.4421052631578947
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.6210526315789474
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.531578947368421
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.5052631578947369
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.6631578947368421
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.34210526315789475
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.5105263157894737
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.7315789473684211
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.3631578947368421
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.5526315789473685
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.5526315789473685
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.8368421052631579
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.7842105263157895
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.7210526315789474
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.7052631578947368
