model,checkpoint,compositional_translate_eng_fr_lower
allenai/OLMo-2-0425-1B,main,5.937127438583815
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.64630373916185
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,6.56342575867052
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,6.745021224710983
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.401587337427745
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,6.494580924855492
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.210350433526012
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.925916726878612
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,6.312082279624278
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,6.203012102601156
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.211276192196531
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.002935332369942
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.302406972543353
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.196193099710983
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.149634212427745
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.126309609826589
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,6.192456195809249
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,6.943720646676301
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,6.0971482117052025
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,6.849699692919075
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,6.783936958092486
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,6.716356575144508
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,6.60043352601156
