model,checkpoint,textfrct_V1
allenai/OLMo-2-0425-1B,main,7.004231770833333
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.761067708333333
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.824598524305555
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.953559027777778
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.425347222222221
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.647352430555555
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.066948784722222
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,5.709418402777778
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.590928819444445
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.77734375
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.934678819444445
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,4.167317708333333
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,6.954969618055555
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.471788194444445
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.836805555555555
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.613715277777778
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.272352430555555
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.177191840277779
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,4.930338541666667
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,14.482855902777779
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,6.992513020833333
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,5.440538194444445
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,5.923936631944445
