model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_reverse_last,correct_lower_reverse_last,total_lower_reverse_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_lower_reverse_last,True,,False,0.0,0,26,0.0,0,26,7.667367788461538,2743.409703079751,0.0006659919429871675,0.0006659919429871675
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_lower_reverse_last,True,,False,0.6923076923076923,18,26,0.6923076923076923,18,26,9.063251201923077,12269.847367061286,0.00018217737918848224,0.00018217737918848224
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_lower_reverse_last,True,,False,0.9230769230769231,24,26,0.9230769230769231,24,26,8.182241586538462,6217.854687087809,0.0004674541513583922,0.0004674541513583922
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_lower_reverse_last,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,7.6141826923076925,2663.555740649548,0.0006973998947418336,0.0006973998947418336
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.42217548076923,6470.48562378401,0.00030641022579535384,0.00030641022579535384
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.985877403846153,11031.381365152509,0.00019703751603142243,0.00019703751603142243
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.04717548076923,4172.250709800954,0.0005071134611728549,0.0005071134611728549
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.084134615384615,4452.319464663008,0.0004082769286580563,0.0004082769286580563
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.99444110576923,11162.447646234987,0.0001784244500638268,0.0001784244500638268
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.253756009615385,5564.78059837324,0.0003680139172207516,0.0003680139172207516
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.231069711538462,5021.646648601522,0.0003599794902493399,0.0003599794902493399
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.422926682692308,5888.380538630576,0.0002824867589461772,0.0002824867589461772
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.289663461538462,5579.548621191749,0.0003485020722769449,0.0003485020722769449
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.022986778846153,9762.327674254004,0.0001412269056104232,0.0001412269056104232
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.059945913461538,11696.100330837737,0.0001558891798791546,0.0001558891798791546
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.525991586538462,8027.271582407222,0.0002825291783964115,0.0002825291783964115
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.691256009615385,7397.994908469423,0.0002136427434439479,0.0002136427434439479
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.867638221153846,3709.1162592968512,0.0005347532490191559,0.0005347532490191559
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.47626201923077,7256.061239146775,0.00028937050330434547,0.00028937050330434547
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.431640625,2831.605533697752,0.0008023263343223075,0.0008023263343223075
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.716796875,2954.0716279555,0.0005709443106018382,0.0005709443106018382
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.27734375,4809.734541380173,0.00029042653323761155,0.00029042653323761155
allenai/OLMo-2-0425-1B,main,compositional_lower_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.500600961538462,5682.258165982346,0.00023798156141831213,0.00023798156141831213
