model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lowercase,correct_lowercase,total_lowercase,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_lowercase,True,,False,0.0,0,26,0.0,0,26,7.633563701923077,2549.7124721219393,0.0006063519966316925,0.0006063519966316925
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_lowercase,True,,False,0.4230769230769231,11,26,0.4230769230769231,11,26,9.428936298076923,30038.79204502253,0.00018859464306365386,0.00018859464306365386
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_lowercase,True,,False,0.34615384615384615,9,26,0.34615384615384615,9,26,9.537710336538462,62508.450682826144,0.00023772391527222085,0.00023772391527222085
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_lowercase,True,,False,0.46153846153846156,12,26,0.46153846153846156,12,26,7.851111778846154,5020.272253379066,0.0007364078888971222,0.0007364078888971222
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_lowercase,True,,False,0.9230769230769231,24,26,0.9230769230769231,24,26,7.845552884615385,4029.4395552519486,0.0006180846249610687,0.0006180846249610687
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_lowercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,9.32587139423077,18217.485796846297,0.00015898422729499932,0.00015898422729499932
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.452373798076923,2446.555642436109,0.0009405649477814179,0.0009405649477814179
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.603064903846154,2656.1869755621397,0.0007630141651626852,0.0007630141651626852
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.75165264423077,8801.19836504014,0.0002151572495256585,0.0002151572495256585
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_lowercase,True,,False,0.9230769230769231,24,26,0.9230769230769231,24,26,7.884765625,3853.0946979126097,0.0005454281538780308,0.0005454281538780308
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.721454326923077,2846.912388513976,0.0005379468584117264,0.0005379468584117264
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.739032451923077,2656.162611407405,0.0005228986711758104,0.0005228986711758104
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.177734375,1643.5082202502754,0.0009788242792178848,0.0009788242792178848
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,9.4921875,17894.45543779716,9.721155342753447e-05,9.721155342753447e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.79912860576923,8680.017195370923,0.00018981253228178983,0.00018981253228178983
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.933293269230769,3793.059907729165,0.00045602882704614785,0.00045602882704614785
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.539813701923077,7649.465440679013,0.00029096822071062,0.00029096822071062
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.501802884615385,2492.809516124333,0.0007380356928851971,0.0007380356928851971
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.46259014423077,6262.091900994159,0.0002670124894166433,0.0002670124894166433
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,6.677433894230769,1075.8882380750892,0.0016425718610279618,0.0016425718610279618
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.156850961538462,1624.0511527256447,0.0009333957022861169,0.0009333957022861169
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.798828125,3174.6624802187125,0.000501521830447105,0.000501521830447105
allenai/OLMo-2-0425-1B,main,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,9.022385817307692,10105.408229443576,0.00014510329325896098,0.00014510329325896098
