model,checkpoint,compositional_lower_reverse_first
allenai/OLMo-2-0425-1B,main,8.431039663461538
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.010967548076923
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.116135817307692
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.464092548076923
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.333233173076923
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,9.141075721153847
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,9.079477163461538
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.20282451923077
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.768329326923077
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.780048076923077
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.935997596153846
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.181790865384615
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.680138221153846
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.245042067307692
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.437800480769231
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.218149038461538
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.351412259615385
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.968599759615385
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.277944711538462
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.883413461538462
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.03485576923077
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.779897836538462
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.258864182692308
