model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_successor_last,accuracy_delete_middle,accuracy_append_successor,accuracy_successor_all,accuracy_double_string,accuracy_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,10.280381944444445,101119.46750220157,1.734893968596945e-05,5.373506046473496e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,8.248914930555555,78460.20054220421,0.00019104138245716365,0.006408166575190739
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.848958333333333,44432.56398008446,9.879762527192348e-05,0.00852411068215167
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.698350694444445,116849.63368237561,0.0008099730558614937,0.012043049468827971
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.860026041666667,57767.49421159772,0.0011871474770877304,0.01093535213101894
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,8.078559027777779,79257.0207522927,0.00023096108151647273,0.011177588494865017
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,8.327473958333334,151639.34731320586,0.0005146651587776983,0.009922558950526126
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,8.455512152777779,599958.7686231189,0.0009660035922921471,0.014543780247690529
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.999131944444445,139812.0374031251,0.0009739957944380721,0.01528779461789818
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.498914930555555,78841.62695681039,0.002797190290556696,0.027272777158883873
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,8.2109375,63310.5587378671,0.00013022216874313162,0.010146638271681656
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.371744791666667,88407.3610116347,0.0022029309487301267,0.023725663013771367
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.993489583333333,62416.468912927914,0.0016469046567247165,0.011411534125352611
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.553385416666667,28523.13215432428,0.0004659046409360742,0.01566266600672223
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.607421875,65843.16169849584,0.0016755002996625547,0.011268707991589542
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.631944444444445,72731.18664176275,0.000917850982478647,0.01754778645854711
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.896918402777778,187236.54803699307,0.0011042977269901074,0.011254584620948553
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.750868055555555,35806.026049400825,0.0009709532061412522,0.019035948858975277
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.437934027777778,59483.153380928015,0.002446752313665377,0.023315357220796966
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.778211805555555,594567.8410508094,0.0033828104483335938,0.017903630214610788
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.711805555555555,84565.2600686294,0.0018273157115342674,0.02561250082106549
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.551432291666667,38879.29683754112,0.0007685356608439467,0.0159398526253297
allenai/OLMo-2-0425-1B,main,string_analogy,True,,False,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,7.669704861111111,19877.460694330908,0.0004888117103107242,0.01346337518627324
