model,checkpoint,compositional_translate_fr_eng_first
allenai/OLMo-2-0425-1B,main,0.24561403508771928
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.12280701754385964
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.2222222222222222
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.23391812865497075
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.18128654970760233
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.2631578947368421
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.27485380116959063
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.15789473684210525
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.22807017543859648
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.21052631578947367
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.2222222222222222
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.17543859649122806
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.23976608187134502
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.21637426900584794
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.2046783625730994
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.2046783625730994
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.23976608187134502
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.2222222222222222
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.23976608187134502
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.1871345029239766
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.24561403508771928
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.2046783625730994
