model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_reverse,correct_translate_eng_fr_reverse,total_translate_eng_fr_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.5734375,698773.122583518,2.3945534136389765e-06,7.185961747102675e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.808984375,854743.2192608913,2.0717201097293302e-07,0.00017316256631153435
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,11.216015625,1445972.6460701013,1.3848876035038372e-07,0.00012328405479989128
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.269140625,96437.43481473709,3.546483525848315e-06,0.00013288948739511049
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.89921875,3455435.445650503,1.3268822246143651e-06,0.0001561774934757412
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,11.237109375,9710431.451462746,2.3486681165206326e-07,0.00019303118057639577
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.831640625,999336.8798672417,8.460423803748084e-07,9.5867998154577e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.7125,2068524.1923715123,2.8713977022863823e-06,0.00010807969468370523
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,11.06328125,2026849.3663983855,3.4172427825577984e-07,0.0001322514996111328
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.497265625,6475055.473163446,2.2692759727104854e-06,0.0005221617960288132
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.7671875,9596053.525407078,1.7947540958176544e-06,0.00021086290742201264
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.52109375,3027520.4086705074,5.448308836722893e-06,0.000523868454333782
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.905078125,13590683.837369045,3.8270973697520387e-07,0.0003286234680131594
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,11.033984375,3069227.132478042,7.176079420306748e-07,0.00016331185053620667
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.47734375,1086597.8916417868,7.239549082245687e-07,0.0003484238665232784
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.79375,4761354.053273954,2.678927398100886e-07,0.00035648411901095225
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.72265625,829927.4842256025,6.489117272214627e-08,0.0002080069443545298
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.187890625,204914.52567056575,2.191676770302926e-06,0.00024272585889516412
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.36796875,222226.24879937404,8.117349634216402e-07,0.0004416246405999992
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.74765625,1367740.5670359805,4.2562304701136545e-07,0.00027854122859274845
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.8078125,2030139.4139351752,1.4750460891006102e-07,0.00020294868126003777
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.85078125,4284707.632788306,1.5666548768022325e-06,0.00024743528110197975
allenai/OLMo-2-0425-1B,main,compositional:translate_eng_fr_reverse,True,,False,0.0,0,10,0.0,0,10,10.581640625,3856774.428108208,8.723573061983633e-07,0.000335864975818358
