model,checkpoint,compositional_translate_sp_eng_first
allenai/OLMo-2-0425-1B,main,10.808154845505618
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.646813553370787
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.14549683988764
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.199394311797754
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.453958918539326
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,11.028945751404494
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.252392029494382
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.847678195224718
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.309471558988765
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,9.98068820224719
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.022625526685394
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.430587254213483
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.517709796348315
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.501558110955056
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.358694698033707
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.160353757022472
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.294373244382022
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.878247893258427
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.042068995786517
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.224565484550562
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,11.002743153089888
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.322704529494382
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.171853054775282
