model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_reverse,correct_translate_fr_eng_reverse,total_translate_fr_eng_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.162577668128655,75681.08371661716,4.9892163661882386e-06,8.792400565833633e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.231633771929825,496519.7454794211,1.2311229455736332e-06,0.0002145613076287916
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.52951388888889,867908.3401944869,1.0751729142972808e-07,0.00016641898205291654
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.635096856725147,470843.52661331405,1.279540196715303e-07,0.00010016994692718144
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.52218110380117,830542.5003641599,8.201728698629849e-07,0.0001430548235656622
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.498058296783626,1190064.4101864635,3.1061621993372085e-07,0.00030277549597428657
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.448990314327485,616170.0820475282,1.3597518792779351e-06,0.0004618500131054885
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.444535818713451,891489.4236779511,4.383777123429364e-07,0.00013974168693438923
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.572528326023392,1046126.199985147,2.572481727021893e-07,0.0001302770070825813
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.178271198830409,1043318.6111117384,5.009437588508741e-07,0.00016143895063325787
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.388294956140351,568840.9144225437,3.6697470034756643e-07,0.00014709691759015714
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.161504020467836,626557.5485829124,9.419060155040257e-07,0.00019503679330393586
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.521952668128655,2360364.979649209,5.106952222389776e-07,0.00013898527712841234
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.3539153874269,866648.4611685487,6.507278299244901e-07,0.00037903730022517055
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.165867141812866,622991.7493045024,3.1949102400576787e-06,0.00016974774830940778
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.434507492690058,667325.0727635531,4.940690586894507e-07,0.00013667804936463146
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.4921875,720307.9439307326,3.698103977563252e-07,0.0001195354283757543
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.15344024122807,676192.2053170282,6.342361482061468e-07,0.00015333439287256302
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.254648665935672,842110.9149107414,7.423096138014331e-07,0.00035524546587109226
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.300689875730994,1084104.0409223658,4.52482295311682e-06,0.00016410935743092612
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.597313596491228,1387839.7399048556,1.552281830599686e-06,0.00013300824698236454
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.274191337719298,3018698.092242129,4.235708659517985e-07,0.00017964660225855495
allenai/OLMo-2-0425-1B,main,compositional_translate_fr_eng_reverse,True,,False,0.0,0,171,0.0,0,171,10.220508954678362,3096049.951416971,3.5242645750857377e-06,0.0005214094841322665
