model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_lower,correct_gerund_lower,total_gerund_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_gerund_lower,True,,False,0.0,0,178,0.0,0,178,10.959423279494382,187202.8423328573,1.103955060525755e-06,3.407912794661035e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_gerund_lower,True,,False,0.8595505617977528,153,178,0.8595505617977528,153,178,4.928140361657303,795.606469466097,0.0003484538865648826,0.020095755776324366
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_gerund_lower,True,,False,0.9550561797752809,170,178,0.9550561797752809,170,178,3.949899051966292,175.92029495353904,0.0021258367697169116,0.0406668944947307
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_gerund_lower,True,,False,0.9550561797752809,170,178,0.9550561797752809,170,178,3.9892715282654496,196.15797112810367,0.001961413769942293,0.040749534096624976
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_gerund_lower,True,,False,0.9606741573033708,171,178,0.9606741573033708,171,178,3.8400247981039324,157.87678485691399,0.0018465038636802569,0.04390344823248378
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_gerund_lower,True,,False,0.9719101123595506,173,178,0.9719101123595506,173,178,4.349093662219101,310.1484487408153,0.0005992189508625825,0.026000937740121115
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_gerund_lower,True,,False,0.9831460674157303,175,178,0.9831460674157303,175,178,4.139725245786517,248.67048348826583,0.0010759527745582585,0.03403380165832128
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_gerund_lower,True,,False,0.949438202247191,169,178,0.949438202247191,169,178,4.408170207162922,322.5586870663605,0.0006788677063615024,0.025199442718033878
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_gerund_lower,True,,False,0.9831460674157303,175,178,0.9831460674157303,175,178,4.629723709620786,510.4177684378961,0.0004875223576489964,0.022408608987745698
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_gerund_lower,True,,False,0.9662921348314607,172,178,0.9662921348314607,172,178,4.661291915379214,424.03004877207144,0.00042089469923921313,0.01997166163807473
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,4.404088395365169,301.38074030988116,0.0006508741085514874,0.024642899093245556
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_gerund_lower,True,,False,0.9775280898876404,174,178,0.9775280898876404,174,178,4.899326281601123,766.990608149173,0.0002776912808438752,0.016984447498562663
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.613555565308989,555.5423465632515,0.00044108949818277393,0.021334078022705875
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_gerund_lower,True,,False,0.9719101123595506,173,178,0.9719101123595506,173,178,4.784640537219101,527.2538672945159,0.00034699568166269125,0.018377249575224637
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_gerund_lower,True,,False,0.9775280898876404,174,178,0.9775280898876404,174,178,4.896144224016854,753.1122034924707,0.0002855794287435271,0.017232956619490078
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,5.034887420997191,1287.4677563145017,0.0002481896577169281,0.017574141788036284
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_gerund_lower,True,,False,0.9606741573033708,171,178,0.9606741573033708,171,178,4.809043627106742,541.5972289458981,0.0003225645241571338,0.017635659783887633
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_gerund_lower,True,,False,0.9662921348314607,172,178,0.9662921348314607,172,178,4.709137991573034,501.9162390132648,0.00035204432661347675,0.020122300990151366
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_gerund_lower,True,,False,0.9550561797752809,170,178,0.9550561797752809,170,178,4.814409234550562,616.9186393529945,0.00029581057885888154,0.018346500430923562
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_gerund_lower,True,,False,0.9662921348314607,172,178,0.9662921348314607,172,178,4.523799596207865,389.1611878283653,0.0004934565339599419,0.022606793500013128
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_gerund_lower,True,,False,0.9662921348314607,172,178,0.9662921348314607,172,178,4.43284212605337,335.99313937136355,0.0006442280596699536,0.025086670377208874
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_gerund_lower,True,,False,0.9775280898876404,174,178,0.9775280898876404,174,178,4.772960191362359,651.0386122891305,0.00034018237187407024,0.019949640905721204
allenai/OLMo-2-0425-1B,main,compositional_gerund_lower,True,,False,0.9831460674157303,175,178,0.9831460674157303,175,178,5.212012816011236,1269.1697269951267,0.00017672011039021832,0.013042604004135155
