model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_upper_reverse,correct_translate_eng_fr_upper_reverse,total_translate_eng_fr_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,10.856240915697674,167052.97908284332,4.693723849391049e-08,3.407852793367207e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.944108829941861,71345.54833533306,7.704159697035693e-08,0.00047558060883406625
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.906056958575581,57648.38841790058,3.440518656677405e-07,0.0010410629739348461
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.878508811773257,86488.5782244715,9.416539096275147e-08,0.0005879637856918028
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.884674781976743,155011.6103220241,6.114190167160283e-08,0.00044690593867086433
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.75203261264535,157162.2891924158,6.103790904840127e-08,0.0007358337129023366
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.866767351017442,162878.84786952173,5.267092891024486e-08,0.000675268071770559
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.910905704941861,97998.68755453065,5.3444148011324446e-08,0.00041689400855847604
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,9.076762354651162,221265.13212593115,3.108865709617025e-08,0.000598200589024546
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.663630995639535,87774.55310031465,1.0364045791332274e-07,0.0005587460995124901
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.794251907703488,225397.1293226392,9.505148503494934e-08,0.0009590472036886473
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.804324127906977,122955.84334939154,3.126375919274588e-08,0.0004886570758138711
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.846293604651162,197582.6704230981,4.849110834457173e-08,0.0005512391632031577
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.852107558139535,168919.98814817172,4.192587351513543e-08,0.0005653522244094198
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,9.001339934593023,105604.74864213643,3.9255862515720755e-08,0.0004191647884356539
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.858262172965116,147486.85318290192,3.944618509735942e-08,0.0004994042536327187
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.714571220930232,79245.861954818,7.044362244015989e-08,0.00045657531067763767
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.737168422965116,175194.01223058614,7.503454922882014e-07,0.001076254537274253
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_eng_fr_upper_reverse,True,,False,0.005780346820809248,1,173,0.005780346820809248,1,173,8.758244004360465,86433.65498827108,3.2703525446711473e-07,0.0005384438148896039
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.652468659156977,145781.96439527508,6.344426390513575e-08,0.0007611486030150977
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_eng_fr_upper_reverse,True,,False,0.005780346820809248,1,173,0.005780346820809248,1,173,8.784429505813954,125707.04020903436,6.20586487499895e-08,0.0005310193579211652
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_eng_fr_upper_reverse,True,,False,0.0,0,173,0.0,0,173,8.832099382267442,375596.04480503494,4.956519276661772e-08,0.0005753040190833828
allenai/OLMo-2-0425-1B,main,compositional_translate_eng_fr_upper_reverse,True,,False,0.011560693641618497,2,173,0.011560693641618497,2,173,8.461085119912791,146139.1873021233,2.7506305361182867e-06,0.0014487683210610244
