model,checkpoint,simple_icl_translate_eng_fr
allenai/OLMo-2-0425-1B,main,0.6473988439306358
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.046242774566473986
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.3988439306358382
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.3583815028901734
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.32947976878612717
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.4393063583815029
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.4797687861271676
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.15028901734104047
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.48554913294797686
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.4913294797687861
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.4682080924855491
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.20809248554913296
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.5202312138728323
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.4797687861271676
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.2774566473988439
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.5491329479768786
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.2832369942196532
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.5317919075144508
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.3179190751445087
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.32947976878612717
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.4046242774566474
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.4682080924855491
