model,checkpoint,compositional_translate_sp_eng_reverse
allenai/OLMo-2-0425-1B,main,10.121795997191011
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.248200491573034
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.37403441011236
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.26707338483146
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.54395628511236
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.234331109550562
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.091511587078651
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.671896945224718
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.469540028089888
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.482421875
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.126623946629213
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.169307408707866
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.541827598314606
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.206855688202246
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.452861657303371
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.586003335674157
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.576237710674157
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.461486130617978
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.135709269662922
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,10.44627808988764
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.383361130617978
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,10.538667485955056
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.091357970505618
