model,checkpoint,string_analogy
allenai/OLMo-2-0425-1B,main,7.669704861111111
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.248914930555555
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.2109375
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.371744791666667
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.993489583333333
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.553385416666667
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,7.607421875
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.848958333333333
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.631944444444445
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.896918402777778
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.750868055555555
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.280381944444445
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.698350694444445
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.437934027777778
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.778211805555555
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.860026041666667
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.711805555555555
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.078559027777779
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.551432291666667
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.327473958333334
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.455512152777779
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,7.999131944444445
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.498914930555555
