model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_MA2,correct_MA2,total_MA2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,8.101822916666666,6321.052049181159,0.0005111236088939935,0.0005111236088939935
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,11.502604166666666,196483.90839485332,1.7949585668215623e-05,1.7949585668215623e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.431510416666667,499242.35305911175,7.815289792699266e-06,7.815289792699266e-06
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.73203125,1921201.5338697021,2.0209234144391574e-06,2.0209234144391574e-06
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.061979166666667,921734.2111750847,5.560417899671952e-06,5.560417899671952e-06
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.78671875,767269.552582202,6.561090259725839e-06,6.561090259725839e-06
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.805208333333333,682500.9234189857,5.827425945857319e-06,5.827425945857319e-06
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.891927083333334,718055.504468954,4.57943111672397e-06,4.57943111672397e-06
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.056770833333333,683700.0840244319,3.292985917727557e-06,3.292985917727557e-06
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.40078125,937471.0270652773,2.4956048237627723e-06,2.4956048237627723e-06
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.475,953810.0104002175,2.097598589969588e-06,2.097598589969588e-06
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.778125,1461183.5217500853,1.7704980610865328e-06,1.7704980610865328e-06
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.182552083333333,736774.3625815823,2.8721832645384144e-06,2.8721832645384144e-06
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.815364583333333,1335212.6279427505,1.4121394383091455e-06,1.4121394383091455e-06
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.688020833333333,1267384.4868146358,1.854087575449543e-06,1.854087575449543e-06
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.8078125,1507786.1614776629,1.5370035475377612e-06,1.5370035475377612e-06
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.329947916666667,898385.4282000005,2.5257353623380983e-06,2.5257353623380983e-06
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.48515625,1079209.1020325369,2.1776889089042423e-06,2.1776889089042423e-06
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.657291666666667,1183060.2541554926,1.7218785488642852e-06,1.7218785488642852e-06
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,14.0578125,2074465.9627357952,2.4335220075041794e-06,2.4335220075041794e-06
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.793489583333333,462188.99321248726,3.926272302291505e-06,3.926272302291505e-06
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.326302083333333,920484.925867222,2.4829436306529e-06,2.4829436306529e-06
allenai/OLMo-2-0425-1B,main,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,14.638802083333333,3884593.820257236,6.947880740137846e-07,6.947880740137846e-07
