model,checkpoint,coreference_pronoun_hard
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,0.0
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.6
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,0.75
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,0.65
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,0.65
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.75
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,0.85
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.65
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,0.75
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,0.7
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,0.8
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,0.75
