model,checkpoint,simple_icl_translate_fr_eng
allenai/OLMo-2-0425-1B,main,0.7485714285714286
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.02857142857142857
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.5885714285714285
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.6114285714285714
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.5942857142857143
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.5942857142857143
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.6457142857142857
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.2571428571428571
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.6171428571428571
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.5942857142857143
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.5942857142857143
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.35428571428571426
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.6857142857142857
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.68
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.4685714285714286
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.6457142857142857
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.5314285714285715
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.6571428571428571
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.5485714285714286
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.5428571428571428
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.5428571428571428
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.6114285714285714
