model,checkpoint,compositional_plural_upper_reverse
allenai/OLMo-2-0425-1B,main,6.723982007575757
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.97142518939394
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.481013257575758
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.339654356060606
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.585345643939394
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.627083333333333
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,7.608001893939394
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.89966856060606
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.570667613636363
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.555516098484849
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.53264678030303
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.624431818181819
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.444625946969697
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.54955018939394
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.231036931818182
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.455279356060606
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.549029356060606
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.367258522727273
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.467447916666667
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.154190340909091
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.389476799242424
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,7.675733901515152
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.370028409090909
