model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_pronoun_simple,accuracy_pronoun_hard,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,coreference,True,,False,0.0,0,40,0.0,0.0,12.094921875,209871.25542902533,3.272019410330332e-06,6.794545070834185e-06
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,coreference,True,,False,0.75,30,40,0.9,0.6,4.918177843093872,1177.0130245563357,0.12294054026274101,0.13086745944933864
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,coreference,True,,False,0.725,29,40,0.8,0.65,4.891421699523926,2401.7113595663955,0.12334517127981455,0.13379520227477135
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,coreference,True,,False,0.85,34,40,0.95,0.75,4.60482423901558,860.4984945650634,0.1226148106963388,0.1341549392448964
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,coreference,True,,False,0.9,36,40,0.95,0.85,4.981041097640992,1215.6214041084854,0.1241338544904331,0.13145134981482615
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,coreference,True,,False,0.775,31,40,0.9,0.65,4.898439544439316,937.4390264052541,0.12469907267561349,0.13263420416470376
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,coreference,True,,False,0.85,34,40,0.95,0.75,4.847711598873138,1188.114821890042,0.12348836864476184,0.13147495439682202
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,coreference,True,,False,0.825,33,40,0.95,0.7,4.690260791778565,961.7094589828357,0.12408758941781946,0.13410920158729747
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,coreference,True,,False,0.875,35,40,0.95,0.8,4.505449867248535,509.0216798575598,0.12356861421388313,0.134354555279209
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,coreference,True,,False,0.825,33,40,0.9,0.75,4.865764379501343,1176.946810360341,0.12270930641097214,0.131347792692926
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,coreference,True,,False,0.825,33,40,0.9,0.75,4.892208576202393,1387.8623007737053,0.12357522142923542,0.13107481856706155
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,coreference,True,,False,0.825,33,40,1.0,0.65,4.71803994178772,1193.6650348508285,0.12461161956944371,0.13476241681523055
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,coreference,True,,False,0.8,32,40,0.9,0.7,4.778829574584961,1381.386525270639,0.1203428860640533,0.13082916396717575
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,coreference,True,,False,0.8,32,40,0.9,0.7,4.343224954605103,446.47173203192796,0.12285030327846631,0.13628841303497788
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,coreference,True,,False,0.925,37,40,1.0,0.85,4.452618026733399,563.7118402818905,0.12457689513828236,0.13672958024808984
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,coreference,True,,False,0.8,32,40,0.9,0.7,4.670611262321472,1054.0709891579213,0.12450289106159702,0.13541011188127022
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,coreference,True,,False,0.85,34,40,1.0,0.7,4.5917980670928955,937.6825646071302,0.12405960640781684,0.1362257038191281
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,coreference,True,,False,0.9,36,40,1.0,0.8,4.541580033302307,1070.0948654005633,0.12484423622082837,0.13804757718208036
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,coreference,True,,False,0.875,35,40,1.0,0.75,4.518863922357559,805.3818958800341,0.12488365283355174,0.13741749510047105
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,coreference,True,,False,0.9,36,40,1.0,0.8,4.4967364311218265,708.4093583386139,0.12261430238923436,0.13584238692758485
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,coreference,True,,False,0.9,36,40,1.0,0.8,4.6851316571235655,1115.9215020171341,0.12403932945662235,0.13535165201338184
allenai/OLMo-2-0425-1B,main,coreference,True,,False,0.825,33,40,0.95,0.7,5.655733799934387,6781.294618840041,0.12324084913853287,0.12836707160970334
