model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_last,correct_lower_last,total_lower_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:lower_last,True,,False,0.0,0,36,0.0,0,36,7.707790798611111,3354.9514138652453,0.0006573979476685965,0.0006573979476685965
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:lower_last,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,10.592230902777779,194647.34515484332,5.298561368355406e-05,5.298561368355406e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:lower_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.333984375,76337.9035138467,0.00011397708798949191,0.00011397708798949191
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.904730902777779,123738.71019769703,3.894807824630911e-05,3.894807824630911e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:lower_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.223741319444445,69724.67193724586,6.39376935482177e-05,6.39376935482177e-05
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.985785590277779,139702.56144864802,4.101446099359386e-05,4.101446099359386e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,11.02126736111111,118161.572854717,3.4610222735142175e-05,3.4610222735142175e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.583875868055555,78227.30368475695,6.934412625920445e-05,6.934412625920445e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.40017361111111,147860.29792523888,1.9690053244485294e-05,1.9690053244485294e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.84060329861111,35289.19288254113,9.384723132586588e-05,9.384723132586588e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:lower_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.221354166666666,49869.67018174368,5.924686033823228e-05,5.924686033823228e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:lower_last,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,10.279947916666666,80938.56846313206,9.041241560202819e-05,9.041241560202819e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:lower_last,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,9.807942708333334,46862.727520670436,0.00013614293680263174,0.00013614293680263174
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.665364583333334,74218.47911650459,4.90398095101853e-05,4.90398095101853e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.383680555555555,80644.03241363408,9.843825217995898e-05,9.843825217995898e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:lower_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.300238715277779,57172.266678759275,7.038331213816791e-05,7.038331213816791e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:lower_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.021809895833334,38149.841650441056,8.377953478155068e-05,8.377953478155068e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,9.49099392361111,20192.16454079902,0.00011977063690785684,0.00011977063690785684
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.666449652777779,61747.55485821018,3.2198837075011403e-05,3.2198837075011403e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.747395833333334,133864.39899660723,5.916913839916191e-05,5.916913839916191e-05
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:lower_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.31076388888889,56446.663145507526,6.340331742412281e-05,6.340331742412281e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:lower_last,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,10.754340277777779,87533.27236836724,3.5694062028971505e-05,3.5694062028971505e-05
allenai/OLMo-2-0425-1B,main,compositional:lower_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,9.819010416666666,46840.02111072019,0.00024685857374787086,0.00024685857374787086
