model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_first,correct_translate_eng_fr_first,total_translate_eng_fr_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_eng_fr_first,True,,False,0.0,0,173,0.0,0,173,7.796558887283237,5422.24163357113,0.0005825733570230301,0.0005825733570230301
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_eng_fr_first,True,,False,0.1791907514450867,31,173,0.1791907514450867,31,173,10.881773843930636,167724.34870960217,4.9300624843988825e-05,4.9300624843988825e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_eng_fr_first,True,,False,0.15028901734104047,26,173,0.15028901734104047,26,173,10.857139631502891,286065.70759776374,5.31748202366243e-05,5.31748202366243e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_eng_fr_first,True,,False,0.2023121387283237,35,173,0.2023121387283237,35,173,10.608652456647398,178040.63634010954,8.285776157812933e-05,8.285776157812933e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_eng_fr_first,True,,False,0.23121387283236994,40,173,0.23121387283236994,40,173,10.058097001445086,400252.29880380933,0.00011856351413481102,0.00011856351413481102
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_eng_fr_first,True,,False,0.23699421965317918,41,173,0.23699421965317918,41,173,10.684113078034683,631942.188527103,6.836574418401568e-05,6.836574418401568e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_eng_fr_first,True,,False,0.23699421965317918,41,173,0.23699421965317918,41,173,11.180680997109826,352171.49363207957,3.48797401474435e-05,3.48797401474435e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_eng_fr_first,True,,False,0.24277456647398843,42,173,0.24277456647398843,42,173,11.149205202312139,343361.61064787407,3.456976604807082e-05,3.456976604807082e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_eng_fr_first,True,,False,0.26011560693641617,45,173,0.26011560693641617,45,173,11.531114523121387,780460.051663382,3.234224478731419e-05,3.234224478731419e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_eng_fr_first,True,,False,0.2774566473988439,48,173,0.2774566473988439,48,173,10.045610549132949,110720.1062222813,0.00012874095918522662,0.00012874095918522662
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_eng_fr_first,True,,False,0.21965317919075145,38,173,0.21965317919075145,38,173,10.56344833815029,376148.20108751126,0.00011590700930108147,0.00011590700930108147
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_eng_fr_first,True,,False,0.24855491329479767,43,173,0.24855491329479767,43,173,11.07647669797688,1592571.0194899768,8.899630021901265e-05,8.899630021901265e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_eng_fr_first,True,,False,0.2023121387283237,35,173,0.2023121387283237,35,173,10.650537391618498,489156.7720264634,7.4271866727465e-05,7.4271866727465e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_eng_fr_first,True,,False,0.3063583815028902,53,173,0.3063583815028902,53,173,10.99778721098266,1599626.2300189799,4.968619193479937e-05,4.968619193479937e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_eng_fr_first,True,,False,0.24277456647398843,42,173,0.24277456647398843,42,173,10.60452041184971,271638.3455846787,7.926052645638417e-05,7.926052645638417e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_eng_fr_first,True,,False,0.2254335260115607,39,173,0.2254335260115607,39,173,10.681651914739884,295805.81716576195,0.0001112701345592601,0.0001112701345592601
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_eng_fr_first,True,,False,0.2254335260115607,39,173,0.2254335260115607,39,173,10.419436416184972,406321.05507981323,7.707596515307976e-05,7.707596515307976e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_eng_fr_first,True,,False,0.2658959537572254,46,173,0.2658959537572254,46,173,10.389541184971097,260064.26113457204,0.00012422633320907254,0.00012422633320907254
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_eng_fr_first,True,,False,0.2658959537572254,46,173,0.2658959537572254,46,173,10.755373916184972,377456.63675476465,6.97223236632046e-05,6.97223236632046e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_eng_fr_first,True,,False,0.26011560693641617,45,173,0.26011560693641617,45,173,10.557171242774567,349823.0431518347,0.00012717618176417235,0.00012717618176417235
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_eng_fr_first,True,,False,0.2254335260115607,39,173,0.2254335260115607,39,173,10.45980852601156,306203.5869448732,9.264867642555027e-05,9.264867642555027e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_eng_fr_first,True,,False,0.24277456647398843,42,173,0.24277456647398843,42,173,10.650040643063583,452930.8806970592,9.3868128110914e-05,9.3868128110914e-05
allenai/OLMo-2-0425-1B,main,compositional_translate_eng_fr_first,True,,False,0.2774566473988439,48,173,0.2774566473988439,48,173,10.851878612716764,342079.11688797234,7.871876576825507e-05,7.871876576825507e-05
