model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse_first,correct_upper_reverse_first,total_upper_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_upper_reverse_first,True,,False,0.0,0,26,0.0,0,26,7.951021634615385,4169.4212743382,0.0005884754255880974,0.0005884754255880974
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_upper_reverse_first,True,,False,0.6923076923076923,18,26,0.6923076923076923,18,26,9.725060096153847,22376.060696985463,8.167502560084244e-05,8.167502560084244e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_upper_reverse_first,True,,False,0.6153846153846154,16,26,0.6153846153846154,16,26,8.911959134615385,32823.48493722239,0.0002836303479080974,0.0002836303479080974
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.560546875,2748.7965747411768,0.0007397421465039762,0.0007397421465039762
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.096153846153847,4653.395393330066,0.0004624064318430462,0.0004624064318430462
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.59795673076923,6702.655174983289,0.0002394333901819485,0.0002394333901819485
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.900691105769231,3408.1712388494298,0.0004683257741675854,0.0004683257741675854
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.111778846153847,3988.9262169260537,0.00035752509744406527,0.00035752509744406527
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.843149038461538,8989.310448598717,0.00019138783559491347,0.00019138783559491347
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.116135817307692,4407.434292221152,0.00042175918488520037,0.00042175918488520037
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.398737980769231,1864.1232009403045,0.0006956562557151158,0.0006956562557151158
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.562950721153846,2318.0198096356226,0.0006209443153761916,0.0006209443153761916
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,6.804387019230769,1052.8508825585563,0.001302610278565749,0.001302610278565749
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.334134615384615,1862.9195346678503,0.0007914992884211036,0.0007914992884211036
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.262319711538462,4549.096082174125,0.0002988817293460867,0.0002988817293460867
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.131159855769231,1561.183371280805,0.0009898597281519234,0.0009898597281519234
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.439903846153846,2072.3433345981693,0.0007468851090692163,0.0007468851090692163
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,6.880558894230769,1169.776452565457,0.0011823338844327825,0.0011823338844327825
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.565955528846154,2365.819830933977,0.0006364032339112693,0.0006364032339112693
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,5.902493990384615,474.74216281500946,0.0033075388540135253,0.0033075388540135253
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.286658653846154,1819.7520021863243,0.0008720471962726836,0.0008720471962726836
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.453725961538462,2049.955487158634,0.0006839622383578897,0.0006839622383578897
allenai/OLMo-2-0425-1B,main,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.609675480769231,2469.843336498261,0.0006337558526489388,0.0006337558526489388
