model,checkpoint,simple_icl_uppercase
allenai/OLMo-2-0425-1B,main,8.31805889423077
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,11.389723557692308
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.691556490384615
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.959435096153846
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.251953125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.360276442307692
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.750450721153847
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,11.996844951923077
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.425931490384615
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.696514423076923
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.080528846153847
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,8.119140625
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.489483173076923
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.452524038461538
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.774639423076923
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,9.011268028846153
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.20703125
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.634314903846153
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,6.763822115384615
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.026141826923077
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.146334134615385
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,10.117788461538462
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.7471454326923075
