model,checkpoint,textfrct_CV3
allenai/OLMo-2-0425-1B,main,9.476399739583334
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.5830078125
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,11.472493489583334
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,11.317437065972221
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,11.60595703125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,11.354410807291666
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.57058376736111
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,11.190809461805555
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.522135416666666
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,11.124674479166666
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.89822048611111
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,12.24978298611111
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.951768663194445
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.866373697916666
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.497233072916666
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.749891493055555
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.28369140625
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.871527777777779
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,9.867513020833334
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.106282552083334
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.69113498263889
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.058213975694445
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,11.4267578125
