model,checkpoint,compositional:gerund_upper
allenai/OLMo-2-0425-1B,main,3.7521484375
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,3.728515625
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,3.2982421875
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,3.156640625
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,3.3029296875
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,3.508984375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,3.6953125
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,3.2958984375
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,3.6884765625
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,3.4765625
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,3.28896484375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.953125
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,3.2966796875
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,3.42998046875
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,3.3744140625
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,3.8033203125
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,3.546875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,3.4693359375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,3.403125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,3.171875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,3.88125
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,3.520703125
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,3.02158203125
