model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_reverse_first,correct_plural_reverse_first,total_plural_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_plural_reverse_first,True,,False,0.0,0,165,0.0,0,165,6.541666666666667,841.1490523238652,0.0016774551248064857,0.0016774551248064857
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_plural_reverse_first,True,,False,0.896969696969697,148,165,0.896969696969697,148,165,8.289251893939394,86038.65132633952,0.00043746193462649,0.00043746193462649
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_plural_reverse_first,True,,False,0.8606060606060606,142,165,0.8606060606060606,142,165,8.262476325757575,60768.065290956445,0.0004339691602210952,0.0004339691602210952
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_plural_reverse_first,True,,False,0.8545454545454545,141,165,0.8545454545454545,141,165,7.229924242424242,16839.907621908962,0.001387663303932225,0.001387663303932225
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,6.2704545454545455,19470.802871689557,0.004743977458824789,0.004743977458824789
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_plural_reverse_first,True,,False,0.793939393939394,131,165,0.793939393939394,131,165,7.685629734848485,177174.8977013089,0.0009729518627217072,0.0009729518627217072
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,7.8821022727272725,160656.38141752928,0.0007492036042872531,0.0007492036042872531
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,8.46500946969697,121443.53407858995,0.00037606886515781845,0.00037606886515781845
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_plural_reverse_first,True,,False,0.8303030303030303,137,165,0.8303030303030303,137,165,9.219105113636363,106798.77209862572,0.00017163281455434345,0.00017163281455434345
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_plural_reverse_first,True,,False,0.7515151515151515,124,165,0.7515151515151515,124,165,7.952130681818182,52095.34101761581,0.0006631344867376628,0.0006631344867376628
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_plural_reverse_first,True,,False,0.9030303030303031,149,165,0.9030303030303031,149,165,8.60217803030303,150140.28117137236,0.0003206346972412247,0.0003206346972412247
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,8.25797821969697,56971.57246566971,0.00042998898359049645,0.00042998898359049645
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_plural_reverse_first,True,,False,0.8545454545454545,141,165,0.8545454545454545,141,165,8.705326704545454,72965.08333037564,0.00027157355957516924,0.00027157355957516924
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_plural_reverse_first,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,8.598532196969696,119781.09109902802,0.0003267804319661722,0.0003267804319661722
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_plural_reverse_first,True,,False,0.8363636363636363,138,165,0.8363636363636363,138,165,8.76171875,130864.65757095993,0.0002808340796571583,0.0002808340796571583
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_plural_reverse_first,True,,False,0.8242424242424242,136,165,0.8242424242424242,136,165,9.099360795454546,81827.69304119697,0.00019252472251308112,0.00019252472251308112
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_plural_reverse_first,True,,False,0.8666666666666667,143,165,0.8666666666666667,143,165,9.408049242424243,181830.41948567276,0.00015154202345571687,0.00015154202345571687
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_plural_reverse_first,True,,False,0.8606060606060606,142,165,0.8606060606060606,142,165,7.835416666666666,30276.579432068116,0.0006824843971984903,0.0006824843971984903
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_plural_reverse_first,True,,False,0.8121212121212121,134,165,0.8121212121212121,134,165,9.044105113636364,54115.7157503426,0.00022137937027670918,0.00022137937027670918
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_plural_reverse_first,True,,False,0.8242424242424242,136,165,0.8242424242424242,136,165,8.996685606060606,59869.37752107374,0.00021329670001305945,0.00021329670001305945
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_plural_reverse_first,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,8.504829545454545,98321.02009643386,0.0004314843611199765,0.0004314843611199765
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_plural_reverse_first,True,,False,0.8848484848484849,146,165,0.8848484848484849,146,165,7.602154356060606,42003.456813382,0.0009132959849173808,0.0009132959849173808
allenai/OLMo-2-0425-1B,main,compositional_plural_reverse_first,True,,False,0.7757575757575758,128,165,0.7757575757575758,128,165,8.324573863636363,20727.126301725504,0.00038374375683389685,0.00038374375683389685
