model,checkpoint,compositional_translate_eng_fr_first
allenai/OLMo-2-0425-1B,main,10.851878612716764
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.881773843930636
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.56344833815029
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,11.07647669797688
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.650537391618498
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.99778721098266
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.60452041184971
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.857139631502891
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.681651914739884
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.419436416184972
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.389541184971097
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.796558887283237
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.608652456647398
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.755373916184972
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.557171242774567
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.058097001445086
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.45980852601156
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.684113078034683
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.650040643063583
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.180680997109826
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,11.149205202312139
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.531114523121387
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.045610549132949
