model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_reverse,correct_translate_sp_eng_reverse,total_translate_sp_eng_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.169307408707866,77726.56061293231,7.489111236406333e-07,8.578328885507773e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.248200491573034,366637.98500385316,1.999265241173348e-07,0.00014658853313121345
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.671896945224718,618461.6153195925,1.5081293896110738e-07,0.00012117155139386783
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.541827598314606,396248.1253852602,2.617708450880918e-07,0.00010812851876889829
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.586003335674157,963536.3761197759,1.51372581558153e-07,0.0001277123397423752
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.461486130617978,873811.0982305213,2.994751899044532e-07,0.00016469799506521978
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.44627808988764,628174.5537081778,1.0135953663654849e-07,0.00012833251394354388
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.383361130617978,428798.9379300523,1.1155230531347534e-07,0.00012586019587984443
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.538667485955056,2518340.3465615683,1.225538323625038e-07,0.00013829397804998535
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.091357970505618,1688192.0785875884,2.1529141866652125e-07,0.0001695516224490661
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.37403441011236,762928.9679206331,9.519204049231992e-08,0.00015431672885047964
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.26707338483146,791383.630218402,1.1360924995485173e-07,0.00017580165763426072
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.54395628511236,1267137.6054867927,1.180342946871105e-07,0.00013470002603310286
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.234331109550562,400669.76559882227,1.6657889590632736e-07,0.00015592361082164506
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.091511587078651,403578.52570607566,3.9832465779386886e-07,0.00017540141277461865
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.469540028089888,1159734.5868653615,7.23304056435627e-08,0.0001286433362633696
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.482421875,484702.08631176554,9.101781938129342e-08,0.00011407169850804059
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.126623946629213,511793.8920264074,1.576125079937832e-07,0.00021941486389456864
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.206855688202246,554112.3950757347,5.316525880031397e-07,0.00035420477618135584
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.452861657303371,855331.6978275776,1.1770270789684363e-07,0.00011834808317340677
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.576237710674157,818296.8475034893,7.69605104401982e-08,0.00012240060123960034
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.135709269662922,893807.2422192115,1.975384905004926e-07,0.0001877194794178161
allenai/OLMo-2-0425-1B,main,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.121795997191011,3173272.9310096973,3.174961299959968e-07,0.0002326387129258175
