model,checkpoint,simple_icl_country_to_capital
allenai/OLMo-2-0425-1B,main,3.4034052309782608
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,4.841807489809782
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,3.9330789317255435
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,3.6758714758831523
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,3.6855574898097827
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,4.077721637228261
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,4.064394743546195
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,4.262127420176631
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,3.5304167374320654
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,3.857129967730978
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,3.8447530995244565
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.14807659646739
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,4.261219853940218
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,3.800553031589674
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,3.6514680281929346
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,4.282125721807065
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,3.8550070057744565
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,4.356832753057065
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,3.8233536430027173
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,4.093293563179348
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,4.043271272078805
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,4.029657778532608
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,3.734130859375
