model,checkpoint,textfrct_MA3
allenai/OLMo-2-0425-1B,main,10.976432291666667
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.825390625
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.2142578125
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,9.5365234375
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.094661458333333
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.533919270833334
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.017513020833333
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.719466145833334
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,9.679296875
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,9.7552734375
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.287239583333333
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.154427083333333
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.143815104166666
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,9.5033203125
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,9.1791015625
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.147721354166666
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,9.700065104166667
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.671484375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,9.466731770833333
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,9.772981770833333
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.3314453125
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,9.955013020833333
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,9.458268229166666
