model,checkpoint,compositional:last_upper
allenai/OLMo-2-0425-1B,main,10.341362847222221
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.65603298611111
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.446614583333334
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.38888888888889
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.301649305555555
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,9.997612847222221
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.774088541666666
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.472981770833334
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,9.720703125
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.103949652777779
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.651692708333334
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,8.106987847222221
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.623480902777779
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.952690972222221
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.895616319444445
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.97189670138889
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.610677083333334
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.815972222222221
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.82107204861111
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.50954861111111
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.759440104166666
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.49685329861111
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,9.768446180555555
