model,checkpoint,textfrct_RL4
allenai/OLMo-2-0425-1B,main,12.565104166666666
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.285807291666666
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.4306640625
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.619466145833334
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.649739583333334
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.666341145833334
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.410807291666666
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.478678385416666
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.3291015625
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.876953125
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.986979166666666
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,5.768229166666667
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.488932291666666
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.564453125
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.397786458333334
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.474772135416666
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.21728515625
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.952473958333334
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.26171875
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,10.084309895833334
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.393880208333334
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,10.3046875
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.529296875
