model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_reverse_first,correct_gerund_reverse_first,total_gerund_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_gerund_reverse_first,True,,False,0.0,0,178,0.0,0,178,8.427734375,5132.270996672811,0.0002472702101066627,0.0002472702101066627
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.713483146067416,2420.431844545586,0.0004825394559501834,0.0004825394559501834
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.022625526685394,3499.597276354101,0.00038093615854042315,0.00038093615854042315
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,6.586003335674158,829.7139124408046,0.0015843412576224316,0.0015843412576224316
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,5.929621664325842,497.27577472006413,0.0035067745552638378,0.0035067745552638378
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.646637991573034,2361.751038935445,0.0005442692512919881,0.0005442692512919881
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.450162394662922,2010.1067276053168,0.0006834586168933608,0.0006834586168933608
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.833655196629214,2747.5930830729467,0.00043516528635445577,0.00043516528635445577
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.427449087078651,5055.4490953284985,0.00024299613429646196,0.00024299613429646196
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.337605337078652,1758.3598007556088,0.000743839388964505,0.000743839388964505
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.458852703651686,2016.9727712025065,0.0006796041831307731,0.0006796041831307731
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.580209796348315,5949.380247319752,0.00021173498837478345,0.00021173498837478345
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.557057584269663,2141.9245210384966,0.0005859421323234125,0.0005859421323234125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.148569171348314,1364.460537356339,0.0008433052532679216,0.0008433052532679216
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.072682584269662,3839.7980023119244,0.00038572765836908726,0.00038572765836908726
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.892863412921348,3088.2674892571786,0.0004386829010945737,0.0004386829010945737
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.791278967696629,7144.218439889782,0.00016582562337410394,0.00016582562337410394
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.13818908005618,1448.0654943341806,0.000927079541070207,0.000927079541070207
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.118767556179776,3777.392349662256,0.00033634596560527184,0.00033634596560527184
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,8.163996664325843,4305.481351618522,0.00034427294529485033,0.00034427294529485033
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.789260007022472,2793.465270874675,0.0004844987284645516,0.0004844987284645516
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.069324964887641,1333.8381142213746,0.0009762620864321726,0.0009762620864321726
allenai/OLMo-2-0425-1B,main,compositional_gerund_reverse_first,True,,False,1.0,178,178,1.0,178,178,7.55933988764045,2293.248860841789,0.0006169949383403113,0.0006169949383403113
