model,checkpoint,textfrct_I2
allenai/OLMo-2-0425-1B,main,9.674386160714286
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.225167410714286
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.376395089285714
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.653878348214286
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.337611607142858
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.173967633928571
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.5849609375
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.182756696428571
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.999720982142857
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,9.046595982142858
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.939313616071429
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,5.0830078125
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.239815848214286
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,9.654017857142858
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,9.144670758928571
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.185825892857143
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,9.577706473214286
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.011160714285714
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.826450892857142
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.2587890625
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,9.068498883928571
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.200892857142858
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.460658482142858
