model,checkpoint,textfrct_V5
allenai/OLMo-2-0425-1B,main,7.071723090277778
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.760959201388889
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.826171875
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.965928819444445
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.23752170138889
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.494086371527778
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.375217013888889
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,5.749457465277778
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.588758680555555
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.9208984375
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.88161892361111
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,4.068576388888889
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.143229166666667
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.381401909722222
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.828667534722221
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.642252604166667
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.367730034722222
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.1591796875
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,4.974175347222222
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,14.35763888888889
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.094401041666667
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,5.5849609375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,5.907443576388889
