model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_last,correct_translate_sp_eng_last,total_translate_sp_eng_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_sp_eng_last,True,,False,0.0,0,178,0.0,0,178,7.676615168539326,2841.690822079644,0.000593024727539832,0.000593024727539832
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_sp_eng_last,True,,False,0.08426966292134831,15,178,0.08426966292134831,15,178,10.433900983146067,70866.64081792881,6.0605378188565344e-05,6.0605378188565344e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_sp_eng_last,True,,False,0.08426966292134831,15,178,0.08426966292134831,15,178,11.148305828651685,139063.4367575172,3.1461862722307915e-05,3.1461862722307915e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_sp_eng_last,True,,False,0.07303370786516854,13,178,0.07303370786516854,13,178,11.252874824438202,167627.35981339563,3.3132099118201386e-05,3.3132099118201386e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_sp_eng_last,True,,False,0.05056179775280899,9,178,0.05056179775280899,9,178,10.82518433988764,87529.09862755644,3.9045752781331183e-05,3.9045752781331183e-05
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_sp_eng_last,True,,False,0.0449438202247191,8,178,0.0449438202247191,8,178,11.561622191011235,230227.65687448284,2.0323713496224605e-05,2.0323713496224605e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_sp_eng_last,True,,False,0.03932584269662921,7,178,0.03932584269662921,7,178,12.043275983146067,400172.26968336845,1.6129465269550068e-05,1.6129465269550068e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_sp_eng_last,True,,False,0.056179775280898875,10,178,0.056179775280898875,10,178,11.587956460674157,204626.90386961726,1.8854171523199692e-05,1.8854171523199692e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,12.050517907303371,335579.4129007653,1.3254329226324373e-05,1.3254329226324373e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_sp_eng_last,True,,False,0.0449438202247191,8,178,0.0449438202247191,8,178,10.999648876404494,112505.68686580802,2.8540411659199893e-05,2.8540411659199893e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_sp_eng_last,True,,False,0.05056179775280899,9,178,0.05056179775280899,9,178,10.821321980337078,111466.63286529676,4.1294141230202556e-05,4.1294141230202556e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_sp_eng_last,True,,False,0.0449438202247191,8,178,0.0449438202247191,8,178,10.511674859550562,74802.39603321852,5.0449107528890934e-05,5.0449107528890934e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_sp_eng_last,True,,False,0.11235955056179775,20,178,0.11235955056179775,20,178,11.119052844101123,215067.76767424084,3.8359673907148404e-05,3.8359673907148404e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_sp_eng_last,True,,False,0.056179775280898875,10,178,0.056179775280898875,10,178,11.517292837078651,181745.54105142463,1.8158985362808022e-05,1.8158985362808022e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,10.79637025983146,110449.13255118707,6.0275866844534936e-05,6.0275866844534936e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_sp_eng_last,True,,False,0.05056179775280899,9,178,0.05056179775280899,9,178,10.795821629213483,107565.51833056418,4.794024968143377e-05,4.794024968143377e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_sp_eng_last,True,,False,0.08426966292134831,15,178,0.08426966292134831,15,178,10.416410639044944,64527.44678957715,6.469970998273806e-05,6.469970998273806e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_sp_eng_last,True,,False,0.0898876404494382,16,178,0.0898876404494382,16,178,10.269640976123595,52719.51808799044,7.064611532513978e-05,7.064611532513978e-05
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_sp_eng_last,True,,False,0.056179775280898875,10,178,0.056179775280898875,10,178,11.16384304775281,142778.9701324653,2.9388156122655782e-05,2.9388156122655782e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_sp_eng_last,True,,False,0.03932584269662921,7,178,0.03932584269662921,7,178,10.884480337078651,145017.3817029247,6.937351432993255e-05,6.937351432993255e-05
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_sp_eng_last,True,,False,0.10112359550561797,18,178,0.10112359550561797,18,178,10.670338834269662,93423.46110617167,5.247547821014132e-05,5.247547821014132e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_sp_eng_last,True,,False,0.06179775280898876,11,178,0.06179775280898876,11,178,10.583962429775282,91669.04035189348,5.928936587492341e-05,5.928936587492341e-05
allenai/OLMo-2-0425-1B,main,compositional_translate_sp_eng_last,True,,False,0.07303370786516854,13,178,0.07303370786516854,13,178,10.955714536516854,166242.24715244016,4.067126463134333e-05,4.067126463134333e-05
