model,checkpoint,compositional:reverse_first
allenai/OLMo-2-0425-1B,main,9.886067708333334
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.714192708333334
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.355794270833334
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,9.9765625
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.253038194444445
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.63693576388889
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.441297743055555
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.68967013888889
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.365342881944445
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.04861111111111
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.74978298611111
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.697374131944445
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,11.254774305555555
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.280598958333334
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.660264756944445
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.253472222222221
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,9.951822916666666
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.79275173611111
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.94900173611111
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,10.976996527777779
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.576605902777779
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.259331597222221
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.055230034722221
