model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_present_to_gerund,correct_present_to_gerund,total_present_to_gerund,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl:present_to_gerund,True,,False,0.0,0,179,0.0,0,179,11.22747905027933,209459.58161558644,7.544655670217873e-07,2.7074689998980453e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl:present_to_gerund,True,,False,0.8268156424581006,148,179,0.8268156424581006,148,179,5.068053858240224,1083.8708346093715,0.0003045021106221792,0.018758843123141845
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl:present_to_gerund,True,,False,0.9050279329608939,162,179,0.9050279329608939,162,179,4.283470452164805,435.7740746079126,0.001295087498705281,0.03434173201814076
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl:present_to_gerund,True,,False,0.9273743016759777,166,179,0.9273743016759777,166,179,4.1289989961592175,230.88653049961925,0.0013684964110495716,0.03482169960142709
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl:present_to_gerund,True,,False,0.9385474860335196,168,179,0.9385474860335196,168,179,4.476715258379889,462.8700831911438,0.000648025752917227,0.02809701171936623
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl:present_to_gerund,True,,False,0.9162011173184358,164,179,0.9162011173184358,164,179,4.660396298882682,585.5955552930897,0.0003390320728294868,0.02194122629960729
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl:present_to_gerund,True,,False,0.9497206703910615,170,179,0.9497206703910615,170,179,4.585637438896648,634.0297541339966,0.000547634793324107,0.025352771422074913
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl:present_to_gerund,True,,False,0.9385474860335196,168,179,0.9385474860335196,168,179,4.593826379189944,473.06813357854537,0.000438405430149362,0.022511823544609833
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl:present_to_gerund,True,,False,0.9050279329608939,162,179,0.9050279329608939,162,179,4.9834911836592175,929.9199695826939,0.00021620078770189177,0.017493480808375716
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl:present_to_gerund,True,,False,0.9385474860335196,168,179,0.9385474860335196,168,179,4.861830045391062,707.0903261148558,0.0002582207538812224,0.0178744894714691
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl:present_to_gerund,True,,False,0.9553072625698324,171,179,0.9553072625698324,171,179,4.938956660265363,938.0140662208845,0.0002587836884721179,0.01833827280915028
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl:present_to_gerund,True,,False,0.9664804469273743,173,179,0.9664804469273743,173,179,5.164575331703911,1243.0741653698055,0.0001636382026873133,0.015066405270239763
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl:present_to_gerund,True,,False,0.9553072625698324,171,179,0.9553072625698324,171,179,4.486840956703911,485.9200844513313,0.0005180760193498975,0.024894014057328082
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl:present_to_gerund,True,,False,0.9664804469273743,173,179,0.9664804469273743,173,179,4.831387482541899,742.2219267961934,0.00030252403178144237,0.018815857478739272
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl:present_to_gerund,True,,False,0.9664804469273743,173,179,0.9664804469273743,173,179,5.013868278631285,971.6214624731635,0.00022970596452678182,0.016510930321772293
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl:present_to_gerund,True,,False,0.9720670391061452,174,179,0.9720670391061452,174,179,5.0474423882681565,1390.6492853742918,0.00022218406653839084,0.017739003075766712
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl:present_to_gerund,True,,False,0.88268156424581,158,179,0.88268156424581,158,179,5.009492842178771,823.3179869672141,0.00018301998367076247,0.0152338147558582
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl:present_to_gerund,True,,False,0.9162011173184358,164,179,0.9162011173184358,164,179,4.768341916899441,779.1099166212553,0.0002783617545584792,0.020303423406042454
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl:present_to_gerund,True,,False,0.9385474860335196,168,179,0.9385474860335196,168,179,4.8234222241620115,944.2040846752476,0.00028348446626592965,0.019158804585671197
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl:present_to_gerund,True,,False,0.8938547486033519,160,179,0.8938547486033519,160,179,4.458951641061453,399.6891375029448,0.0005117505023216799,0.025361044017053306
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl:present_to_gerund,True,,False,0.9106145251396648,163,179,0.9106145251396648,163,179,4.476486120810056,434.70378199183244,0.0004448970381312125,0.023914982188709993
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl:present_to_gerund,True,,False,0.8994413407821229,161,179,0.8994413407821229,161,179,4.896817170041899,879.5133757626512,0.0002343684153801323,0.0181988315591764
allenai/OLMo-2-0425-1B,main,simple_icl:present_to_gerund,True,,False,0.9608938547486033,172,179,0.9608938547486033,172,179,5.246541113826815,2045.7509431617234,0.0001115469217131862,0.014164889454903358
