model,checkpoint,simple_icl_country_to_capital
allenai/OLMo-2-0425-1B,main,0.8586956521739131
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.34782608695652173
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.7663043478260869
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.7608695652173914
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.7065217391304348
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.7010869565217391
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.717391304347826
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.44565217391304346
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.7934782608695652
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.7554347826086957
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.7119565217391305
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.5815217391304348
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.782608695652174
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.7771739130434783
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.625
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.6739130434782609
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.6521739130434783
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.7989130434782609
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.6413043478260869
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.6956521739130435
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.6793478260869565
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.6956521739130435
