model,checkpoint,ioi_task
allenai/OLMo-2-0425-1B,main,3.352537109375
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,4.8894609375
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.145681640625
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,4.9046875
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,4.198357421875
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,4.390333984375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,4.359671875
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,4.794171875
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,4.4538671875
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,4.201919921875
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,4.239416015625
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.706359375
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,4.6414765625
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,4.80675
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.1712578125
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,4.45247265625
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,4.5326875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,4.639650390625
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,4.56734765625
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,4.352373046875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,4.184861328125
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,4.6033984375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,4.30653125
