model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_reverse,correct_lower_reverse,total_lower_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.65353732638889,41329.929999794425,1.0508311536219543e-07,0.00013586507725388887
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.368272569444445,63611.31424918989,1.3772970970080804e-07,0.0002824582947533707
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.43044704861111,128175.6904429633,5.0612833576193296e-08,0.0002564505179262347
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.277886284722221,38034.54832531809,1.3093342362238943e-07,0.0002488702918112848
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.18359375,41387.71951287637,9.50433770909389e-08,0.00034440100236095354
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.0703125,66028.14865302276,6.469088879265602e-08,0.0004046649956936679
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.27734375,46470.411511427854,1.043104442518552e-07,0.000304561191317564
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.022352430555555,66133.45880400533,3.1526066913097625e-07,0.00047891889010944345
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.267903645833334,123788.30004792329,4.992881826335062e-08,0.00044415128111265626
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.746419270833334,44315.830020141344,2.3430132846785304e-07,0.0007413663185529325
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.892035590277779,63054.95913699638,2.583124543901919e-07,0.0004859393796283208
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.369791666666666,39179.629111506016,5.059163723275762e-07,0.0008302677610812798
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.182074652777779,276787.4100071892,2.7240697645958362e-08,0.00031503429205240337
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.63791232638889,21811.18845032162,4.868416069505437e-07,0.0005135437553794348
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.65115017361111,49063.93209924802,1.602840686080052e-07,0.0005115467558605057
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.9345703125,70099.66663128474,2.5229974998253587e-07,0.0005051695135463794
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.075629340277779,209593.21304880423,1.8406527828935931e-06,0.0006189711034187582
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.65842013888889,177776.1037090089,7.452759964474527e-08,0.0005973265790698333
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.829969618055555,76454.38851635202,1.9713753083064065e-07,0.0006354953781702438
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.69650607638889,87544.02798799462,1.2504355571827843e-07,0.000588566913438225
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.028862847222221,440903.16933494736,6.059424218010894e-08,0.0005411556573792905
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.622612847222221,21849.64688166939,1.822443992265709e-07,0.0005914842636117112
allenai/OLMo-2-0425-1B,main,compositional:lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.019965277777779,15501.936193827181,5.77433921881474e-07,0.001175069411043234
