model,checkpoint,logical_ops
allenai/OLMo-2-0425-1B,main,4.015328693389892
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,12.238541666666666
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,3.9647254943847656
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,4.177809651692709
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,3.8896841684977215
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,4.108556874593099
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,4.141935602823893
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,4.044462712605794
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,3.792832438151042
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,3.8918495178222656
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,4.051298522949219
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,3.9915924072265625
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,4.020702107747396
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,3.9480356852213543
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,3.9986251831054687
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,4.126971944173177
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,3.9656888326009114
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,3.698627726236979
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,3.9383275349934896
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,5.420361328125
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,4.106418863932292
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,4.312188720703125
