model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_extract_entity,accuracy_extract_number,accuracy_extract_location,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,fact_extraction,True,,True,results/olmo2_continuous_1b_early_revised/OLMo-2-0425-1B_stage1-step1100000-tokens2307B/allenai_OLMo-2-0425-1B_stage1-step1100000-tokens2307B_fact_extraction_extract_location_detailed.jsonl,60.0,0.75,45,60,,,,,,,
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,fact_extraction,True,,True,results/olmo2_continuous_1b_early_revised/OLMo-2-0425-1B_stage1-step1200000-tokens2517B/allenai_OLMo-2-0425-1B_stage1-step1200000-tokens2517B_fact_extraction_extract_location_detailed.jsonl,60.0,0.7166666666666667,43,60,,,,,,,
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,fact_extraction,True,,True,results/olmo2_continuous_1b_early_revised/OLMo-2-0425-1B_stage1-step1300000-tokens2727B/allenai_OLMo-2-0425-1B_stage1-step1300000-tokens2727B_fact_extraction_extract_entity_detailed.jsonl,60.0,0.7666666666666667,46,60,,,,,,,
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,fact_extraction,True,,True,results/olmo2_continuous_1b_early_revised/OLMo-2-0425-1B_stage1-step1400000-tokens2937B/allenai_OLMo-2-0425-1B_stage1-step1400000-tokens2937B_fact_extraction_extract_number_detailed.jsonl,60.0,0.7666666666666667,46,60,,,,,,,
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,fact_extraction,True,,False,,,0.7833333333333333,47,60,0.95,1.0,0.4,4.875844812393188,1053.9120220071584,0.09507589005779156,0.11886442078231603
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,fact_extraction,True,,False,,,0.7,42,60,0.85,1.0,0.25,4.573592185974121,805.3388808652552,0.09284584882053908,0.12170861962282808
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,fact_extraction,True,,False,,,0.7166666666666667,43,60,0.95,1.0,0.2,4.765338023503621,1501.932433439215,0.09585120530843157,0.1192576084725383
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,fact_extraction,True,,False,,,0.7,42,60,0.9,1.0,0.2,4.725302759806315,1159.5542642599598,0.09555340180267616,0.12211565152522913
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,fact_extraction,True,,False,,,0.75,45,60,1.0,1.0,0.25,4.785140347480774,2342.56180107901,0.0961013508592511,0.11945328940544134
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,fact_extraction,True,,False,,,0.7166666666666667,43,60,0.9,1.0,0.25,4.797532924016317,1424.326759230347,0.09552895747644412,0.11830059675882872
allenai/OLMo-2-0425-1B,main,fact_extraction,True,,False,,,0.8666666666666667,52,60,0.9,1.0,0.7,5.831235869725545,7484.455834123533,0.0942667017504126,0.11610618956773934
