model,checkpoint,simple_icl:present_to_gerund
allenai/OLMo-2-0425-1B,main,5.246541113826815
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,5.068053858240224
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.938956660265363
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.164575331703911
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,4.486840956703911
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,4.831387482541899
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,5.013868278631285
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,4.283470452164805
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.0474423882681565
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.009492842178771
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,4.768341916899441
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.22747905027933
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,4.1289989961592175
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,4.8234222241620115
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,4.458951641061453
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,4.476715258379889
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,4.476486120810056
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,4.660396298882682
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,4.896817170041899
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,4.585637438896648
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,4.593826379189944
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,4.9834911836592175
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,4.861830045391062
