model,checkpoint,basic_arithmetic
allenai/OLMo-2-0425-1B,main,9.7640625
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.2578125
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,9.171875
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,6.208984375
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.691015625
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.6734375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,7.810546875
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.19296875
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.23828125
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,6.805078125
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.4125
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,5.049609375
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,9.2875
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.028515625
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.53125
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.003125
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.54765625
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.30234375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.9203125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.18671875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.23984375
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,7.756640625
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,9.2984375
