model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_negation,accuracy_conjunction,accuracy_conditional,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,logical_ops,True,,False,0.0,0,60,0.0,0.0,0.0,12.238541666666666,287642.03898655926,4.2672332939046294e-06,7.155729067262019e-06
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,logical_ops,True,,False,0.8166666666666667,49,60,1.0,0.75,0.7,3.9647254943847656,5623.487284414328,0.29827737052197684,0.3594042659295621
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,logical_ops,True,,False,0.7666666666666667,46,60,1.0,0.55,0.75,3.9986251831054687,4458.403580055802,0.28005781242369104,0.3321143238463297
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,logical_ops,True,,False,0.8333333333333334,50,60,1.0,0.55,0.95,4.126971944173177,6086.010680322736,0.2842069773700649,0.33346053325907044
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,logical_ops,True,,False,0.9,54,60,1.0,0.7,1.0,3.9656888326009114,3747.8079189175337,0.3032030160783761,0.3493161167331444
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,logical_ops,True,,False,0.9666666666666667,58,60,1.0,0.9,1.0,3.698627726236979,2064.8026257297083,0.27638400117769557,0.3329279787327137
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,logical_ops,True,,False,0.8333333333333334,50,60,1.0,0.65,0.85,3.9383275349934896,4645.433607939345,0.3092858759824264,0.3638892428083086
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,logical_ops,True,,False,0.8333333333333334,50,60,1.0,0.55,0.95,5.420361328125,3773.953598725592,0.01004885376059426,0.07004571076570659
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,logical_ops,True,,False,0.8666666666666667,52,60,1.0,0.6,1.0,4.106418863932292,1351.5326658875017,0.07594169017989284,0.1356896655819751
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,logical_ops,True,,False,0.8666666666666667,52,60,1.0,0.6,1.0,4.312188720703125,8554.283594588476,0.1938542888739034,0.24690823138206244
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,logical_ops,True,,False,0.85,51,60,1.0,0.6,0.95,4.177809651692709,6712.271938143718,0.22716997684004184,0.28187326731652973
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,logical_ops,True,,False,0.8833333333333333,53,60,0.95,0.7,1.0,3.8896841684977215,3581.9788678818386,0.31570573477259717,0.3653482586981768
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,logical_ops,True,,False,0.85,51,60,1.0,0.55,1.0,4.108556874593099,9425.11962283069,0.31190193795352644,0.3617612012550485
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,logical_ops,True,,False,0.9,54,60,1.0,0.7,1.0,4.141935602823893,9626.174022719464,0.3232246956808341,0.3825677798229065
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,logical_ops,True,,False,0.9166666666666666,55,60,1.0,0.8,0.95,4.044462712605794,6143.098889382561,0.3252276299967487,0.3781544916460715
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,logical_ops,True,,False,0.85,51,60,1.0,0.65,0.9,3.792832438151042,2754.56632824127,0.30095548659898963,0.35090166916033555
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,logical_ops,True,,False,0.8666666666666667,52,60,1.0,0.6,1.0,3.8918495178222656,3397.8037329690214,0.31606351239084646,0.364400554485305
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,logical_ops,True,,False,0.9,54,60,1.0,0.7,1.0,4.051298522949219,6106.781785417425,0.2914467931444153,0.3439234811821167
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,logical_ops,True,,False,0.85,51,60,1.0,0.6,0.95,3.9915924072265625,4254.448101381628,0.2670073484674624,0.31796108014561497
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,logical_ops,True,,False,0.9166666666666666,55,60,1.0,0.75,1.0,4.020702107747396,4668.80714547449,0.2620568723370431,0.31320296732608155
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,logical_ops,True,,False,0.8833333333333333,53,60,1.0,0.65,1.0,3.9480356852213543,4540.119994856518,0.316193037935765,0.3673232154806192
allenai/OLMo-2-0425-1B,main,logical_ops,True,,False,0.95,57,60,1.0,0.85,1.0,4.015328693389892,17536.551671898786,0.4745152386914084,0.5056129772873281
