model,checkpoint,compositional_translate_sp_eng_first
allenai/OLMo-2-0425-1B,main,0.20786516853932585
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.12921348314606743
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.16853932584269662
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.21348314606741572
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.19101123595505617
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.20224719101123595
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.16292134831460675
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.15730337078651685
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.17415730337078653
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.20786516853932585
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.19101123595505617
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.1797752808988764
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.20224719101123595
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.19101123595505617
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.14606741573033707
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.20224719101123595
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.21910112359550563
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.21910112359550563
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.17415730337078653
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.1404494382022472
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.19662921348314608
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.14606741573033707
