model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_first,correct_translate_sp_eng_first,total_translate_sp_eng_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_sp_eng_first,True,,False,0.0,0,178,0.0,0,178,7.430587254213483,2101.678737766637,0.0007492834857452201,0.0007492834857452201
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_sp_eng_first,True,,False,0.12921348314606743,23,178,0.12921348314606743,23,178,10.646813553370787,115048.9535235531,6.907580209378023e-05,6.907580209378023e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_sp_eng_first,True,,False,0.15730337078651685,28,178,0.15730337078651685,28,178,10.847678195224718,123484.95416243454,4.81812608916408e-05,4.81812608916408e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_sp_eng_first,True,,False,0.1797752808988764,32,178,0.1797752808988764,32,178,10.517709796348315,114087.53267597417,0.00010433947595123337,0.00010433947595123337
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_sp_eng_first,True,,False,0.14606741573033707,26,178,0.14606741573033707,26,178,10.160353757022472,72273.92238823301,0.00010589161922376239,0.00010589161922376239
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_sp_eng_first,True,,False,0.21910112359550563,39,178,0.21910112359550563,39,178,10.878247893258427,136807.76376326272,4.501164683803834e-05,4.501164683803834e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_sp_eng_first,True,,False,0.17415730337078653,31,178,0.17415730337078653,31,178,11.224565484550562,205860.4447926343,3.6320865786423956e-05,3.6320865786423956e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_sp_eng_first,True,,False,0.1404494382022472,25,178,0.1404494382022472,25,178,11.002743153089888,140143.2740762574,3.6551903351199335e-05,3.6551903351199335e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_sp_eng_first,True,,False,0.19662921348314608,35,178,0.19662921348314608,35,178,11.322704529494382,234429.1284619737,3.0672429683679486e-05,3.0672429683679486e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_sp_eng_first,True,,False,0.14606741573033707,26,178,0.14606741573033707,26,178,10.171853054775282,52384.69444414472,7.302740562438635e-05,7.302740562438635e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_sp_eng_first,True,,False,0.16853932584269662,30,178,0.16853932584269662,30,178,10.14549683988764,67756.32885013102,0.00010837897673136857,0.00010837897673136857
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_sp_eng_first,True,,False,0.21348314606741572,38,178,0.21348314606741572,38,178,10.199394311797754,79523.54091284996,9.067949515886795e-05,9.067949515886795e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_sp_eng_first,True,,False,0.19101123595505617,34,178,0.19101123595505617,34,178,10.453958918539326,88258.43247405208,7.11007015681773e-05,7.11007015681773e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_sp_eng_first,True,,False,0.20224719101123595,36,178,0.20224719101123595,36,178,11.028945751404494,193639.12147003022,4.8797450764870336e-05,4.8797450764870336e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_sp_eng_first,True,,False,0.16292134831460675,29,178,0.16292134831460675,29,178,10.252392029494382,101886.2047455902,0.00014488077397148633,0.00014488077397148633
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_sp_eng_first,True,,False,0.17415730337078653,31,178,0.17415730337078653,31,178,10.309471558988765,88071.83990649118,9.446879019999686e-05,9.446879019999686e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_sp_eng_first,True,,False,0.20786516853932585,37,178,0.20786516853932585,37,178,9.98068820224719,57271.81156402671,0.00012871106720503377,0.00012871106720503377
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_sp_eng_first,True,,False,0.19101123595505617,34,178,0.19101123595505617,34,178,10.022625526685394,63442.00891207882,0.00012532769659209092,0.00012532769659209092
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_sp_eng_first,True,,False,0.20224719101123595,36,178,0.20224719101123595,36,178,10.501558110955056,105669.73719271997,0.00010423493977887113,0.00010423493977887113
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_sp_eng_first,True,,False,0.19101123595505617,34,178,0.19101123595505617,34,178,10.358694698033707,214981.1183047909,0.00012885842547286777,0.00012885842547286777
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_sp_eng_first,True,,False,0.20224719101123595,36,178,0.20224719101123595,36,178,10.294373244382022,114469.86197943483,0.00010493140357146146,0.00010493140357146146
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_sp_eng_first,True,,False,0.21910112359550563,39,178,0.21910112359550563,39,178,10.042068995786517,82622.14714143293,0.00012139739218349952,0.00012139739218349952
allenai/OLMo-2-0425-1B,main,compositional_translate_sp_eng_first,True,,False,0.20786516853932585,37,178,0.20786516853932585,37,178,10.808154845505618,313125.70834001777,6.937366094917964e-05,6.937366094917964e-05
