model,checkpoint,simple_icl_first_letter
allenai/OLMo-2-0425-1B,main,8.598848684210527
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.057565789473685
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,6.91506990131579
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.782668585526316
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,9.38287417763158
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,9.983203125
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,7.366817434210526
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.183100328947368
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.00713404605263
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.903330592105263
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.944407894736842
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,9.334354440789474
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.261595394736842
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.563959703947368
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.10283717105263
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.984909539473684
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.727035361842105
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.668667763157895
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.436903782894737
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.995990953947368
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.463754111842105
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,9.262068256578948
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.481476151315789
