model,checkpoint,textfrct
allenai/OLMo-2-0425-1B,main,9.04103282473092
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.773869404354208
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.009616560665362
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.372517505503914
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.141140991927593
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.224120138209393
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.383878883317026
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.311854054549903
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.228049321183953
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.356550421966732
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.908302501223092
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.3622110445205475
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.968176675636007
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.518541309931507
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,9.386223779965754
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.439881207191782
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.93286562805773
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.400474712573386
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.771054381727006
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.24636512353229
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.673486041462818
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.05469896648728
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.401114924779844
