model,checkpoint,coreference
allenai/OLMo-2-0425-1B,main,5.655733799934387
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,12.094921875
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.918177843093872
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,4.892208576202393
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,4.71803994178772
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,4.778829574584961
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,4.343224954605103
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,4.452618026733399
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,4.670611262321472
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,4.5917980670928955
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,4.541580033302307
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,4.518863922357559
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,4.4967364311218265
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,4.6851316571235655
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,4.891421699523926
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,4.60482423901558
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,4.981041097640992
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,4.898439544439316
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,4.847711598873138
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,4.690260791778565
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,4.505449867248535
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,4.865764379501343
