model,checkpoint,ignoring_context
allenai/OLMo-2-0425-1B,main,11.2265625
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.51953125
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.59375
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.69140625
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.92578125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.65625
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.20703125
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.9375
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.78125
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.3515625
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.984375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.1796875
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,6.5859375
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.09375
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.78125
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.890625
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.65625
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,6.125
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.1328125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,6.62109375
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.37890625
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,7.37109375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.23828125
