model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_lower,correct_translate_eng_fr_lower,total_translate_eng_fr_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_eng_fr_lower,True,,False,0.0,0,173,0.0,0,173,11.002935332369942,304638.5538920935,4.2326173638716735e-06,4.627085294684945e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_eng_fr_lower,True,,False,0.10404624277456648,18,173,0.10404624277456648,18,173,8.64630373916185,947681.6026176342,2.9734526397082224e-05,0.001755908027769388
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_eng_fr_lower,True,,False,0.1907514450867052,33,173,0.1907514450867052,33,173,7.925916726878612,1326404.1289777432,5.100636719804124e-05,0.004450684612441421
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_eng_fr_lower,True,,False,0.27167630057803466,47,173,0.27167630057803466,47,173,7.302406972543353,492229.7472516096,6.373876519068298e-05,0.0053826615357117505
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_eng_fr_lower,True,,False,0.3236994219653179,56,173,0.3236994219653179,56,173,7.126309609826589,349849.38375873986,0.00012205517449520523,0.0065137681074608576
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_eng_fr_lower,True,,False,0.36416184971098264,63,173,0.36416184971098264,63,173,6.943720646676301,638569.2045529716,0.00018507305790849599,0.006848603675503661
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_eng_fr_lower,True,,False,0.41040462427745666,71,173,0.41040462427745666,71,173,6.849699692919075,93277.55456848704,0.0002529727553803615,0.007387125914561956
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_eng_fr_lower,True,,False,0.4277456647398844,74,173,0.4277456647398844,74,173,6.783936958092486,330110.957089599,0.0010246801828414016,0.008565059317259914
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_eng_fr_lower,True,,False,0.43352601156069365,75,173,0.43352601156069365,75,173,6.716356575144508,64756.96297048643,0.00026698875733354073,0.007826872511030383
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_eng_fr_lower,True,,False,0.49710982658959535,86,173,0.49710982658959535,86,173,6.60043352601156,441381.5531548856,0.0006141259798090401,0.00905034278082604
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_eng_fr_lower,True,,False,0.5086705202312138,88,173,0.5086705202312138,88,173,6.56342575867052,494629.53611235425,0.0002686382975723525,0.008328622578546307
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_eng_fr_lower,True,,False,0.4913294797687861,85,173,0.4913294797687861,85,173,6.745021224710983,235866.6453524104,0.0002924321096308458,0.008011162547638492
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_eng_fr_lower,True,,False,0.47398843930635837,82,173,0.47398843930635837,82,173,6.401587337427745,171864.7653546952,0.0008881758734799972,0.010445330775575952
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_eng_fr_lower,True,,False,0.5317919075144508,92,173,0.5317919075144508,92,173,6.494580924855492,439316.0043666051,0.000283644255138936,0.00834758968195207
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_eng_fr_lower,True,,False,0.5433526011560693,94,173,0.5433526011560693,94,173,6.210350433526012,232389.5749554723,0.0004952139519065089,0.01143408673779864
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_eng_fr_lower,True,,False,0.5549132947976878,96,173,0.5549132947976878,96,173,6.312082279624278,156934.2361907715,0.0003284641786898201,0.010544927783556021
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_eng_fr_lower,True,,False,0.5953757225433526,103,173,0.5953757225433526,103,173,6.203012102601156,445012.4092200765,0.00036382242923501876,0.010318896634623655
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_eng_fr_lower,True,,False,0.5260115606936416,91,173,0.5260115606936416,91,173,6.211276192196531,78990.11626402954,0.00034450263662989225,0.010552524549509775
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_eng_fr_lower,True,,False,0.5606936416184971,97,173,0.5606936416184971,97,173,6.196193099710983,249918.4685514231,0.0005935384086357756,0.010901873607125221
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_eng_fr_lower,True,,False,0.5895953757225434,102,173,0.5895953757225434,102,173,6.149634212427745,42336.878528919515,0.00021380549967616472,0.010139838059136862
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_eng_fr_lower,True,,False,0.5433526011560693,94,173,0.5433526011560693,94,173,6.192456195809249,178242.89126861698,0.00028185215071118347,0.010428375547004914
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_eng_fr_lower,True,,False,0.5895953757225434,102,173,0.5895953757225434,102,173,6.0971482117052025,74909.4243234028,0.00034005557735150517,0.01292502831839762
allenai/OLMo-2-0425-1B,main,compositional_translate_eng_fr_lower,True,,False,0.791907514450867,137,173,0.791907514450867,137,173,5.937127438583815,74278.5951806158,0.00039683085427452344,0.012957376231402895
